Rank,Previous,School,Conference,WAB,Record (wins),Record (loss),Road (wins),Road (loss),Neutral (wins),Neutral (loss),Quad 1 (wins),Quad 1 (loss),Quad 2 (wins),Quad 2 (loss),Quad 3 (wins),Quad 3 (loss),Quad 4 (wins),Quad 4 (loss)
1,1,Duke,ACC,6,31,3,10,1,4,2,9,3,7,0,10,0,5,0
2,2,Auburn,SEC,1,28,5,8,2,7,1,16,5,6,0,2,0,4,0
3,3,Houston,Big 12,3,30,4,10,0,4,3,14,3,6,1,5,0,5,0
4,4,Florida,SEC,2,30,4,7,3,8,0,11,4,9,0,4,0,6,0
5,5,Tennessee,SEC,5,27,7,6,5,5,1,11,7,5,0,5,0,6,0
6,6,Alabama,SEC,4,25,8,9,3,4,2,11,8,8,0,4,0,2,0
7,7,Texas Tech,Big 12,15,25,8,8,2,2,3,10,5,3,3,6,0,6,0
8,8,Gonzaga,WCC,35,25,8,8,2,4,4,5,5,5,3,5,0,10,0
9,9,Iowa St.,Big 12,18,24,9,6,5,3,2,10,7,6,2,3,0,5,0
10,10,Maryland,Big Ten,19,25,8,5,5,3,1,8,7,6,1,3,0,8,0
11,11,Michigan St.,Big Ten,7,27,6,8,2,4,3,13,5,5,1,5,0,4,0
12,12,Arizona,Big 12,16,22,12,6,5,3,4,10,11,4,1,4,0,4,0
13,13,St. John's (NY),Big East,8,30,4,8,2,4,2,6,4,11,0,7,0,6,0
14,15,Kentucky,SEC,9,22,11,4,6,3,2,11,10,1,1,4,0,6,0
15,14,Wisconsin,Big Ten,11,26,9,6,5,6,1,8,8,10,1,2,0,6,0
16,16,Missouri,SEC,24,22,11,3,7,1,2,7,11,3,0,4,0,8,0
17,17,Illinois,Big Ten,25,21,12,5,5,3,3,8,10,7,2,0,0,6,0
18,18,Texas A&M,SEC,12,22,10,5,5,4,2,7,9,9,1,1,0,5,0
19,19,Purdue,Big Ten,20,22,11,5,6,3,3,7,10,9,1,2,0,4,0
20,20,Kansas,Big 12,26,21,12,4,8,3,1,6,11,7,1,5,0,3,0
21,21,Saint Mary's (CA),WCC,27,27,5,9,1,3,3,4,3,6,2,7,0,10,0
22,22,Clemson,ACC,22,27,6,9,3,3,1,5,3,8,2,8,1,6,0
23,25,Michigan,Big Ten,10,25,9,7,3,5,3,12,7,4,2,7,0,2,0
24,23,Louisville,ACC,17,27,7,9,2,4,2,4,6,11,1,7,0,5,0
25,24,BYU,Big 12,21,24,9,6,5,3,2,8,7,6,2,4,0,6,0
26,26,Marquette,Big East,29,23,10,7,6,2,1,6,8,7,2,5,0,5,0
27,27,UCLA,Big Ten,28,22,10,5,5,2,3,9,8,5,1,1,1,7,0
28,28,Ole Miss,SEC,13,22,11,5,6,4,2,8,10,5,1,2,0,7,0
29,29,Oregon,Big Ten,14,24,9,7,4,5,1,8,7,8,2,5,0,3,0
30,30,Baylor,Big 12,40,18,14,3,9,3,2,5,12,7,1,1,1,5,0
31,31,VCU,Atlantic 10,50,27,6,7,3,6,2,2,1,6,4,6,0,13,1
32,32,UConn,Big East,36,23,10,7,4,2,4,6,6,7,3,4,1,6,0
33,33,Georgia,SEC,33,20,12,3,7,2,2,4,11,5,1,3,0,8,0
34,34,Mississippi St.,SEC,30,21,12,6,5,5,2,7,10,6,2,2,0,6,0
